Who?	¿Quién?
Tom licked his lips.	Ya lambé si Tom de suyo mga labios.
Tom sat at his desk.	Ya sintá si Tom na de suyo mesa.
Tom speaks too fast.	Bien paspás gayot man cuento si Tom.
Tom's not breathing.	Hindê ta resollá si Tom.
We don't need money.	Hindê kamé necesita sen.
We need to find Tom.	Necesita kitá encontrá cun Tom.
We need to find Tom.	Necesita kamé encontrá cun Tom.
We're Tom's parents.	Kamé el tata'y nana de Tom.
We're closing early.	Temprano kamé cerrá.
We're closing early.	Temprano kitá cerrá.
We've been so lucky.	Bien suerte kitá.
We've been so lucky.	Bien suerte kamé.
We've got a visitor.	Tiene kitá visita.
We've got a visitor.	Tiene kamé visita.
We've got a witness.	Tiene kamé testigo.
What do you call it?	Cosa tu ta llamá cunese?
What's your opinion?	Cosa de tuyo opinión?
When do we get paid?	Cuando kamé recibí el pago?
Where are the forks?	Donde ya el maga tenedor?
Where are the shoes?	Donde ya el maga zapatos?
Where are you going?	Donde tu anda?
Where's my umbrella?	Donde ya de mío páyung?
Where's the airport?	Donde parte el aeropuerto?
Who owns this house?	Quien ta dueñá cuneste casa?
Who stole the apple?	Quien ya robá cunel mansanas?
Who were those guys?	Quien aquellos mga gente?
Why did you give up?	Por que tu ya rindí?
You can take a taxi.	Puede tu sacá taxi.
You can't deny that.	No puede tu negá cunese.
You don't know that.	Nusabe tu cunese.
You saved our lives.	Ya salvá tu diámon vida.
Your friend is here.	Taqui de tuyo amigo.
Add sugar to the tea.	Aumentá azúcar na chá.
Are you still hungry?	Cun hambre pa tu siempre?
Aren't you coming in?	Hindé tu entrá?
Both dogs are asleep.	Ambos magá perro ta durmí.
But you're not there.	Pero no hay tu allá.
Can we come with you?	Puede kamé siguí cuntigo?
Can we come with you?	Puede kamé siguí cun ustedes?
Can we rest a moment?	Puede kitá descansá un rato?
Can we rest a moment?	Puede kamé descansá un rato?
Can you come with me?	Puede tu siguí cumigo?
Can you come with me?	Puede ustedes siguí cumigo?
Can you help me here?	Puede tu ayudá cumigo aquí?
Did I give it to you?	Ya dale yo cuntigo?
Did Tom see anything?	Tiene si Tom cosa ya puede mirá?
Did you buy any eggs?	Ya cumprá tu huevos?
Did you use my knife?	Ya usá tu de mío cuchillo?
Do you have a sister?	Tiene tu hermana?
Do you know who I am?	Sabe tu quien yo?
Do you like my shoes?	Ya gustá tu de mío sapatos?
Give me another nail.	Dale cumigo otro clavo.
Give me the notebook.	Dale cumigo el cuaderno.
Give us what we want.	Dale kanamon cosa kamé quiere.
Go to the barbershop.	Andá na barbero.
He crossed the river.	Ya travesá le na río.
He had fifty dollars.	Tiene le cincuenta dollares.
He married my cousin.	Ya casá le de mío prima.
He picked up a stone.	Ya pipiná le un piedra.
He works at the bank.	Ta trabajá le na banco.
He's in the hospital.	Talla le na hospital.
He's in the hospital.	Ele na hospital.
He's in the hospital.	Na hospital ele.
He's in the hospital.	Na hospital le.
He's in the hospital.	Ele tallá na hospital.
He's in the hospital.	Tallá le na hospital.
He's in the hospital.	Tallá ele na hospital.
His blood is boiling.	Ta herví de suyo sangre.
How did you get here?	Pakimodo tu ya llegá aquí?
How much is this hat?	¿Cuánto este sombrero?
I ate fish yesterday.	Ya comé yo pescao ayer.
I ate three hot dogs.	Ya comé yo tres hotdog.
I bought an umbrella.	Ya comprá yo un páyung.
I came here with Tom.	Ya vené yo aquí cun Tom.
I closed my umbrella.	Ya cerrá yo de mío páyung.
I don't care who won.	No hay yo quever quien ya ganá.
I don't want to know.	No quiere yo sabe.
I don't want to stay.	No quiere yo quedá.
I don't want to stop.	No quiere yo pará.
I don't want to swim.	No quiere yo nadá.
I don't want to wait.	No quiere yo esperá.
I don't want to work.	No quiere yo trabajá.
I forget who said it.	Ya olvidá yo quien ya hablá cunaquel.
I have a sharp knife.	Tiene yo un cuchillo agudo.
I have to wear boots.	Necesita yo usá botas.
I love fried bananas.	Quiere gayot yo frito ságuing.
I made a paper plane.	Ya hacé yo eroplano de papel.
I saw Tom last night.	Ya mirá yo cun Tom anoche.
I saw a sleeping dog.	Ya mirá yo un perro durmido.
I want you to use it.	Quiere yo usá tu cunese.
I'll be home by noon.	Taquí ya yo mediodía.
I'll get you a towel.	Ay sacá yo toalla para cuntigo.
I'll get you a towel.	Anda yo sacá toalla cuntigo.
I'm allergic to corn.	Allergic yo na maíz.
I'm allergic to corn.	Alérgico yo na maíz.
I'm glad to be alive.	Alegre yo que vivo yo.
I'm not Tom's mother.	Hindé yo el nana de Tom.
I'm sorry I can't go.	Dispensá cumigo no puede yo andá.
I've been busy today.	Busy yo este día.
Is this pencil yours?	De tuyo esté lápiz?
It looks like a duck.	Dol pato man ese.
It looks like a duck.	Hechura'y pato man ese.
Just get out of here.	Basta, salé aquí.
Let's clean our room.	Nya! Limpiá kitá diaton cuarto.
Let's meet on Sunday.	Man mirahan kitá na Domingo.
Let's meet on Sunday.	Man mirahan kitá Domingo.
Many trees fell down.	Manada ponô ya tumbá.
Many trees fell down.	Ya tumbá manada ponô.
Milk makes us strong.	Ta hacé kanaton fuerte el leche.
My elbow still hurts.	Ta duelé pa siempre mío codo.
My palms were sweaty.	Sudáo de mio maga palma.
No one will harm you.	Nuáy quien ay hacé cuntigo sintí duele.
Nobody owns the moon.	Nuay quien ta dueñá cunel luna.
Open your mouth wide.	Abrí gayot el tuyu boca.
Please do what I ask.	Favor hacé cosa yo ta pidí.
Please don't kill me.	No mata comigo por favor.
Put your wig back on.	Usá olét tuyu peluca.
She always buys milk.	Pirmi le ta comprá leche.
She became a postman.	Ya quedá le cartera.
She bought a chicken.	Ya comprá le un gallina.
Somebody just called.	Tiene quien ya llamá, nuevo lang.
The fan doesn't work.	Hindê ta andá el ventilador.
The fan doesn't work.	Hindê ta funcioná el ventilador.
The house is burning.	Ta quemá el casa.
The milk tastes sour.	Agrio man el leche.
The moon's so bright.	Bien claro el luna.
The towels are dirty.	Mabuling el maga toalla.
The towels are dirty.	Ma-sucio el maga toalla.
The window is closed.	Cerrao el ventana.
The windows are open.	Abierto el maga ventana.
There's nothing left.	Nuáy cosa ya quedá.
They love each other.	Ta amá silá uno'y otro.
They went to the zoo.	Ya andá silá na zoo.
This milk tastes odd.	Otro man el sabor deste leche.
This tree looks dead.	Dol muerto man esté ponô.
Tom boarded the ship.	Ya embarcá si Tom na barco.
Tom climbed the tree.	Ya subí si Tom na ese ponô.
Tom got into the cab.	Ya entrá adentro del taxi si Tom.
Tom has a full beard.	Barba cerrada si Tom.
Tom knows what I did.	Sabe si Tom cosa yo ya hacé.
Tom put his hands up.	Ya alzá si Tom de suyo dos mano.
Tom told Mary a joke.	Yan broma si Tom cun Mary.
Tom wants us to wait.	Quiere si Tom na esperá kamé.
Tom wasn't behind me.	No hay si Tom na detrás de mio.
Tom wore black pants.	Ya usá si Tom pantalón negro.
Try to open the door.	Prubá abré cunel puerta.
We can't do this now.	No puede kitá hacé cuneste ahora.
We can't go in there.	No puede kamé andá allí adentro.
We met at the church.	Yan mirahan kamé na iglesia.
We shouldn't do that.	No kitá debe hacé cunaquel.
We want what we want.	Quiere kamé el cosa kamé quiere.
We'll never find Tom.	Nunca kitá ay puede encontrá cun Tom.
We're not your enemy.	Hindê kamé contralio de tuyu.
What do I need to do?	Cosa yo necesita hacé?
What'll happen to me?	Cosa ay pasá cumigo?
When did you come in?	Cuando tu ya entrá?
When did you see him?	Cuando tu ya mirá cunele?
Where are my glasses?	Donde ya de mío antipara?
Where's the restroom?	Donde el CR?
Who broke the window?	Quien ya hacé quebrá cunel ventana?
Who planted the tree?	Quien ya siembrá cunel ponô?
Whose pencil is this?	De quien esté lápiz?
Whose pencil is this?	De quien lápiz esté?
Why are you laughing?	Por que tu ta ré?
Why are you so happy?	Por que tu bien alegre?
Why did you go there?	Por qué tu ya andá allá?
You can come out now.	Puede ya tu salé ahora.
You don't need to go.	Hindê tu necesita andá.
You need to get help.	Necesita tu pidí ayuda.
You need to help Tom.	Necesita tu ayudá cun Tom.
You're a good person.	Buen gente tu.
You're not my mother.	Hindé tu de mío nana.
You're the lucky one.	Tu el suerte.
Are these your things?	De tuyo estos las cosas?
Are you free tomorrow?	Libre tu mañana?
Both of them survived.	Ya sobreviví silá dos.
Bring me the scissors.	Llevá cumigo el tijeras.
Come here and help me.	Vené aquí y ayudá cumigo.
Did you get a haircut?	Ya mandá tu cortá pelo?
Did you say something?	Tiene ba tu cosa ya ablá?
Did you see the knife?	Ya mirá tu cunel cuchillo?
Don't erase the board.	No borrá cunel pizarra.
Forty people attended.	Cuarenta gente ya atendé.
He licked his fingers.	Ya lambé le de suyo dedo.
I am tired of my work.	Cansáo ya yo trabajá.
I ate curry yesterday.	Ya comé yo karí-karí ayer.
I can't find my watch.	No puede yo encontrá de mío reloj.
I can't open the door.	No puede yo abre el puerta.
I decided to help Tom.	Ya decidí yo ayudá cun Tom.
I don't like studying.	No quiere yo estudia.
I don't want to dance.	No quiere yo bailá.
I don't want to drive.	No quiere yo manejá.
I don't want to shout.	No quiere yo gritá.
I have a lot of books.	Tiene yo manada libro.
I have to get dressed.	Necesita yo mudá.
I have to lose weight.	Necesita yo quedá flaco.
I know what they said.	Sabe yo cosa silá ya hablá.
I know where you live.	Sabe yo donde tu ta quedá.
I prefer fish to meat.	Mas quiere pa yo pescáo que carne.
I remember this place.	Ta acordá yo cuneste lugar.
I should've done more.	Ya hacé pa era yo kel mas manada.
I thought it was true.	Pensaba yo deverasan aquel.
I turned off my phone.	Ya apagá yo de mío cellphone.
I want you to want me.	Quiere yo na quiere tu cumigo.
I was at your wedding.	Tallá yo na de tuyo casamiento.
I will go if you come.	Ay andá yo, si vené tu.
I'll call you at noon.	Ay llamá yo cuntigo mediodía.
I'm a little confused.	Medio tan buyong yo.
I've lost my appetite.	Ya perde de mio gana.
Is that what Tom says?	Amó se cosa ta hablá si Tom?
Is that what happened?	Amó se cosa ya pasá?
Is that what you said?	Amó se cosa tu ya hablá?
Is this your umbrella?	De tuyo esté páyung?
It's my favorite song.	Ese de mio favorito canción.
Let's help each other.	Man ayudahan kita.
Mom is older than Dad.	Mas mayor pa si Mamang que con Papang.
No one speaks with me.	No hay quien tan cuento cumigo.
Not all birds can fly.	Hindé todo pajaro ta puede volá.
Please don't leave me.	Numá cumigo dejá, favor!
She is sewing a dress.	Ta cusí le un camisa.
She reported the news.	Ya reportá le cunel noticia.
She's my older sister.	Ele de mio hermana mayor.
Something stinks here.	Tiene yede aquí.
The ceiling fan is on.	Abierto el ceiling fan.
The ceiling fan is on.	Ta corré el ceiling fan.
The room is too small.	Bien diútay gayót este cuarto.
They are the same age.	Igual igual diila mga edad.
They sat under a tree.	Ya sintá silá abajo del ponô.
They tasted the bread.	Ya prubá silá cunel pan.
This soup tastes good.	Sabroso este sopas.
This spoon is for tea.	Para chá este cuchara.
This wine tastes good.	Bueno el sabor deste vino.
Tom and I are married.	Casáo kamé de Tom.
Tom can't forget Mary.	No puede si Tom olvidá cun Mary.
Tom doesn't like beef.	No quiere carne vaca si Tom.
Tom eats like a horse.	Como caballo ta come si Tom.
Tom hid behind a tree.	Ya escondé si Tom detrás de un ponô.
Tom is drinking water.	Ta tomá água si Tom.
Tom is in the kitchen.	Tallá na cucina si Tom.
Tom is still relaxing.	Tan-relax pa siempre si Tom.
Tom likes to eat fast.	Quiere quiere si Tom comé paspás.
Tom needs a dry towel.	Necesita si Tom un toalla seco.
Tom needs a dry towel.	Necesita si Tom un seco toalla.
Tom put his fork down.	Ya largá si Tom de suyo tenedor.
Tom scrubbed the sink.	Ya hacé kuskús cunel lavabo si Tom.
Tom sold the bracelet.	Ya vendé si Tom cunel pulseras.
Tom stopped breathing.	Ya pará el resuello de Tom.
Tom threw me an apple.	Ya gueriá un mansanas si Tom para cumigo.
Tom turned on the fan.	Ya cindí si Tom cunel ventilador.
We have to be careful.	Necesita kitá tiene cuidáo.
We know what you want.	Sabe kamé cosa tu quiere.
We watch TV every day.	Ta mirá kamé TV todo'l día.
We're not going there.	Hindê kitá andá allá.
What are you studying?	Cosa tu ta estudiá?
What did they ask you?	Cosa silá ya preguntá cuntigo?
When did you find out?	De cuando tu ya sabé?
When is your birthday?	Cuando de tuyo cumpleaño?
Where are the cookies?	Donde ya el mga biscuít?
Where is the bathroom?	Donde el baño?
Where is your brother?	Donde ya de tuyo hermano?
Where's the president?	Donde el presidente?
Who raised these pigs?	Quien ya cuidá cunestos maga puerco?
Why can't we talk now?	Por que no puede kitá man cuento ahora?
Why didn't you accept?	Por que nuáy tu acceptá?
Why didn't you ask me?	Por que tu nuáy preguntá cumigo?
Why is she doing this?	Por que le ta hacé cunesté?
You are a good person.	Buen gente tu.
You have until Monday.	Tiene tu hasta Lunes.
You're bleeding again.	Ta sangrechá ya también tu.
You're not my brother.	Hindé tu de mío hermano.
Your nose is bleeding.	Ta sangrechá de tuyo nariz.
A stone does not float.	Hindê tan lútang el piedra.
All people breathe air.	Todo'l gente ta resollá aire.
Are these bananas ripe?	Maduro este maga ságuing?
Are you happy with Tom?	Alegre tu cun Tom?
Call me when it's done.	Llamá cumigo si acabao ya.
Can you climb the tree?	Puede tu subí na ese ponô?
Can you say that again?	Puede tu ripití el cosa tu ya ablá?
Choose books carefully.	Escují maga libro enbuenamente.
Do you have a calendar?	Tiene tu calendario?
Do you know the reason?	Sabe tu el razon?
Do you know what I did?	Sabe tu cosa yo ya hacé?
Do you know what to do?	Sabe tu cosa hacé?
Do you know who Tom is?	Sabe tu quien si Tom?
Do you know who he was?	Sabe tu quien aquel ele?
Do you want to be rich?	Quiere tu quedá rico?
Do you want to be rich?	Quiere ustedes quedá rico?
Do you want to come in?	Quiere tu entrá?
Do you want to hear it?	Quiere tu oí cunaquel?
Does Tom like tomatoes?	Quiere si Tom tomates?
Does he live near here?	Aquí le cerca ta quedá?
Don't throw trash here.	No butá basura aquí.
Excuse me. Who are you?	Disculpa, quien tu?
Have you seen Tom play?	Ya mirá tu jugá si Tom?
He bought a dozen eggs.	Ya comprá le un docena huevos.
He did the right thing.	Ya hace le el lo que debe.
He earns a good salary.	Bueno de suyu sueldo.
He fell into the river.	Ya cae le para na río.
He hid behind the tree.	Ya escondé le atrás del ponô.
He is washing your car.	Ta lavá le de tuyo coche.
Here's my phone number.	Aqui esta di mio numero de telefono.
I bought this from Tom.	Ya comprá yo cuneste desde cun Tom.
I can help if you want.	Si quiere tu, puede yo ayudá.
I can't go out tonight.	No puede yo salé este noche.
I can't stand the cold.	Hinde yo kaya conel frialdad.
I decided to buy a car.	Ya decidí yo comprá un coche.
I decided to try again.	Ya decidí yo probá otra vez.
I didn't pay attention.	Nuáy yo poné atención.
I don't have a bicycle.	Nuáy yo bike.
I don't want to buy it.	No quiere yo comprá cunese.
I don't want to forget.	No quiere yo olvidá.
I don't want to go out.	No quiere yo salé afuera.
I don't want to see it.	No quiere yo mirá cunese.
I don't want to suffer.	No quiere yo sufrí.
I have to change tires.	Necesita yo cambiá rueda.
I have to comb my hair.	Necesita yo peiná de mío pelo.
I knew you'd like that.	Sabe yo quiere tu cunakel.
I know how old you are.	Sabe yo cuanto años ya tu.
I like traveling alone.	Ta gusta yo viaja solo.
I must open the window.	Necesita yo abrí cunel ventánâ.
I only caught one fish.	Un pescáo lang yo ya cogí.
I prefer working alone.	Mas quiere yo trabajá solo solo.
I said you could leave.	Abla yo, puede ya tu andá.
I saw a woman in black.	Ya puede yo mirá mujer de negro.
I told Tom to go there.	Ya mandá yo cun Tom andá allá.
I turned off the radio.	Ya apagá yo cunel radio.
I want an electric fan.	Quiere yo un ventilador.
I want an electric fan.	Quiere yo un electric fan.
I want to drink coffee.	Quiere yo tomá café.
I was in the mountains.	Tallá yo na monte.
I was in the mountains.	Tallá yo aquel na monte.
I will be very careful.	Ay tené gayót yo mucho cuidáo.
I'd like to rent a car.	Quiere yo arquila coche.
I'm focusing on my job.	Ta concentrá yo na de mio trabajo.
It's a present for you.	Regalo se para de tuyu.
Keep this insect alive.	Mantené cuneste insecto vivo.
Let's sit in the shade.	Sinta kita na sombra.
My health is improving.	Ta mejorá de mio salud.
My neck hurts a little.	Ta duelé un poco de mío pescuezo.
No one understands you.	Nuáy quien ta entendé cuntigo.
Nobody understands you.	Nuáy quien ta entendé cuntigo.
Nobody understands you.	Nuáy quien ta entendé cun ustedes.
Nobody will believe me.	No hay quien ay cre cumigo.
Open your eyes, please.	Favor, abrí de tuyo ojos.
Sharks can sense blood.	Ta puedé ulí sangre el maga tiburón.
She gave him a massage.	Yan masaje le cunele.
She really wants to go.	Quiere gayot le andá.
She shaved her armpits.	Ya raspá le el de suyo subaco.
She was breathing hard.	Duro le ta resollá.
The clouds hid the sun.	Ya tapá el maga celaje cunel sol.
The knife is not sharp.	Hindé agudo el cuchillo.
The pig is growing fat.	Ta quedá ya gordo el puerco.
The river has dried up.	Ya secá el río.
The ship came in sight.	Ya puede columbrá cunel barco.
The ships reached port.	Ya llegá el mga barco na puerto.
The wind grew stronger.	Ya quedá más fuerte el viento.
The wind is cold today.	Frío el viento éste día.
These scissors are new.	Nuevo esté tijeras.
They admire each other.	Ta admirá sila a unos otros.
They admire each other.	Ellos ta admirá a unos otros.
They admire each other.	Sila ta admirá a unos otros.
They cut down the tree.	Ya cortá silá cunel ponô.
This spoon is for soup.	Para caldo este cuchara.
Tom and I ate together.	Junto kamé ya comé de Tom.
Tom and Mary are early.	Temprano si Tom y Mary.
Tom didn't get a reply.	Nuáy si Tom ricibí reply.
Tom drank all the milk.	Ya tomá si Tom todo el leche.
Tom has three brothers.	Tiene tres hermano si Tom.
Tom ironed his clothes.	Ya planchá si Tom de suyo maga ropa.
Tom is a famous doctor.	Famoso doctor si Tom.
Tom is a very good man.	Bien buen gente si Tom.
Tom is fanning himself.	Tan paypáy si Tom de suyo cuerpo.
Tom is holding a knife.	Ta agarrá si Tom un cuchillo.
Tom looked at the moon.	Ya mirá si Tom cunel luna.
Tom stole the necklace.	Ya rubá si Tom cunel cadenita.
Tom turned off the fan.	Ya apagá si Tom cunel ventilador.
Tom wants to come home.	Quiere volvé si Tom.
Tom works in an office.	Ta trabaja na oficina si Tom.
We are to meet at noon.	Ay man mirahan kamé mediodía.
What time do you close?	Que hora ustedes ta cerra?
Where did you buy them?	Donde tu ya cumprá cunesos?
Where's Tom's umbrella?	Donde ya el payung de Tom?
Why are you busy today?	Por que tu busy este día?
Why aren't you working?	Por que tu hindé ta trabajá?
Why don't they like me?	Por que no quiere silá cumigo?
Why don't they like me?	Por que hindé silá ta gustá cumigo?
Why would Tom be angry?	¿Por que man ay rabiá si Tom?
Are you afraid of death?	Tiene tu miedo murí?
Are you afraid of death?	Tiene tu miedo na muerte?
Did Tom really say that?	Ya hablá gayot ansina si Tom?
Do you have a cellphone?	Tiene tu cellphone?
Do you have any pencils?	Tiene tu masquín cosa lápiz?
Do you have the picture?	Tallí cuntigo el retrato?
Do you know how to swim?	Sabe tu nadá?
Do you know what we did?	Sabe tu cosa kamé ya hacé?
Do you know who made it?	Sabe tu quien ya hacé cunese?
Do you like fruit salad?	Quiere quiere tu fruit salad?
Does milk spoil quickly?	Pronto lang quedá malo el leche?
Don't you have any more?	No hay mas ya ba tu?
Eat a lot of vegetables.	Comé manada guláy.
Everyone laughed at Tom.	Todo ya ri cun Tom.
He drowned in the river.	Yan lumús le na río.
He gave the child a toy.	Ya dale le jurgueza cunel batâ.
He promised not to tell.	Ya prometé le hindé ablá.
He was knee deep in mud.	Hasta rodillas de suyo el lodo.
Help me move this stone.	Ayudá cumigo mové cuneste piedra.
How do we do this again?	Pakimodo kitá háce cuneste olet?
How do we do this again?	Pakimodo kitá háce cuneste otra vez?
How do we do this again?	Pakimodo kamé háce cuneste olet?
How do we do this again?	Pakimodo kamé háce cuneste otra vez?
How do you go to school?	Pakimodo tu ta andá na escuela?
I arrived here just now.	Ahora lang yo ya llegá aquí.
I decided to go on foot.	Ya decidí yo caminando lang andá.
I didn't catch the ball.	No hay yo cogí cunel bola.
I don't know what to do.	Nusabe yo cosa hacé.
I don't know where I am.	Nusabe yo donde yo.
I don't know who it was.	Nusabe yo quien aquel.
I don't like fried fish.	No quiere yo pescao frito.
I don't want to be here.	No quiere yo está aquí.
I don't want to be late.	No quiere yo man-late.
I don't want to be late.	No quiere yo atrasá.
I don't want to be rich.	No quiere yo quedá rico.
I don't want to do that.	No quiere yo hacé cunese.
I don't want to go back.	No quiere yo virá.
I don't want to go home.	No quiere yo volvé.
I don't want to hear it.	No quiere yo oí cunese.
I don't want to see Tom.	No quiere yo mirá cun Tom.
I have to clean my room.	Necesita yo limpiá mio cuarto.
I know I made a mistake.	Sabe yo na yan kamalí yo.
I left my watch at home.	Ya dejá yo de mío reloj na casa.
I slept aboard the ship.	Ya durmí yo na barco.
I slept aboard the ship.	Ya durmí yo abordo na barco.
I thought Tom was funny.	Pensaba yo makarisas si Tom.
I'll give you a present.	Ay dalé yo cuntigo un regalo.
I'll lend you this book.	Dale yo cuntigo prestá este libro.
I'm looking for a house.	Ta buscá yo un casa.
Is Tom aboard that ship?	Abordo si Tom naquel barco?
Is it OK if I stay here?	OK lang ba si quedá yo aquí?
It wasn't what I wanted.	Hindê aquel el cosa yo quiere.
It's your favorite song.	Amó se el de tuyo favorito canción.
Let's go out for dinner.	Sale kita afuera para cena.
Let's stay here forever.	Queda kita aqui hasta para cuando.
Lunch is served at noon.	Mediodía ta sirví cunel comida.
May I borrow your knife?	Puede yo prestá de tuyo cuchillo?
My uncle gave me a book.	Ya dale cumigo un libro de mio tio.
Nothing happened to Tom.	No hay cosa ya pasá cun Tom.
Peel two of the bananas.	Cascá dos ságuing.
Please close the window.	Favor cerrá cunel ventana.
Please listen carefully.	Favor oí enbuenamente.
Please tell me about it.	Favor cunta comigo sobre con aquel.
She has attractive eyes.	Bonito de suyo ojos.
She likes walking alone.	Quiere quiere le caminá solo solo.
Show me what you bought.	Dale cumigo mirá el cosa tu ya comprá.
That boy looks like Tom.	Ta semejá ese batâ hombre cun Tom.
The bird is in its nest.	Tallá na de suyo pugarán el pajaro.
The printer needs paper.	Necesita el printer papel.
They abandoned the ship.	Ya abandoná silá cunel barco.
They have a large house.	Tiene silá grande casa.
They offered assistance.	Ya ofrecé silá asistencia.
They're always fighting.	Pirmi silá tan peleahan.
This book is very small.	Bien diútay este libro.
This bread is delicious.	Sabroso esté pan.
This flower smells nice.	Oloroso este flores.
This restaurant is busy.	Este restaurante bien lleno.
Those flowers have died.	Ya murí esos maga flores.
Tom came here yesterday.	Ya vené si Tom aquí ayer.
Tom ducked Mary's punch.	Ya man-ílag si Tom el golpe de María.
Tom gave Mary his knife.	Ya dale si Tom de suyo cuchillo cun María
Tom is in the warehouse.	Tallá na bodega si Tom.
Tom is such a hypocrite.	Bien hipócrito si Tom.
Tom needs a sharp knife.	Necesita si Tom cuchillo agudo.
Tom picked up the knife.	Ya pipiná si Tom cunel cuchillo.
Tom says he needs a hat.	Ya hablá si Tom necesita daw le sombrero.
Tom sharpened his knife.	Ya amulá si Tom de suyo cuchillo.
Tom used to be a waiter.	Waiter de antes si Tom.
We are all going to die.	Todo kitá ay murí.
We have no school today.	No hay kamé clase este dia.
We have plenty of money.	Manada kitá sen.
We have plenty of money.	Manada kitá dinero.
What color is your hair?	Cosa el color de tuyo pelo?
What time does it start?	Que hora kel ta principiá?
Where did you get these?	Donde tu ya sacá cunestos?
Where do you want to go?	Donde tu quiere andá?
Who wrote these letters?	Quien ya escribí cunestos magá carta?
Why do people tell lies?	Por que ta man imbusterías el magá gente?
Why don't you let us go?	Por que hindé tu kanamon mandá andá?
You don't have the time.	Nuáy tu tiempo.
You don't have to study.	Usted jendêh necesita estudía.
You don't have to study.	Tú jendêh necesita estudía.
You don't have to study.	Vos jendêh necesita estudía.
You don't have to study.	Evos jendêh necesita estudía.
You don't have to study.	Jendêh usted necesita estudía.
You don't have to study.	Jendêh tú necesita estudía.
You don't have to study.	Jendêh vos necesita estudía.
You dropped your pencil.	Ya cae de tuyo lápiz.
Are my socks dry already?	Seco ya de mío mga calcetín?
Are my socks dry already?	Seco ya de mío mga medias?
Are you coming in or not?	Entrá tu o hindé?
Are you paying attention?	Ta poné tu atención?
Can I ask you a question?	Puede yo priguntá cuntigo?
Can you taste the garlic?	Puede tu prubá cunel ajos?
Christmas is coming soon.	Cerca ya el Pascua.
Did she hurt that kitten?	Ya asé le sintí duele cunaquel gato diútay?
Did you sew this by hand?	De mano lang tu cuneste ya cusí?
Do you have a red pencil?	Tiene tu lápiz colorao?
Do you have enough money?	Tiene tu suficiente sen?
Do you know Tom's secret?	Sabe tu el sicreto de Tom?
Do you know where I live?	Sabe tu donde yo ta quedá?
Do you know where Tom is?	Sabe tu donde ya si Tom?
Do you know why I'm here?	Sabe tu por qué yo taquí?
Do you need an ambulance?	Necesita tu un ambulancia?
Don't forget who you are.	No tu olvidá quien tu.
Have you had your supper?	Ya cená ya tu?
He bought a plane ticket.	Ya comprá le ticket para eroplano.
He bought a plane ticket.	Ya comprá le ticket de eroplano.
He threw the banana away.	Ya butá le cunel ságuing.
He'll be here until noon.	Taquí le hasta mediodía.
Hey, look what I'm doing.	Huy, mirá cosa yo ta hacé.
Hold your breath, please.	No resollá, favor.
How did you get up there?	Pakimodo tu ya subí alí arriba?
How does this soup taste?	Cosa el sabor de este sopas?
How does this soup taste?	Cosa el sabor d'este sopas?
I cannot lift this stone.	No puede yo alzá cuneste piedra.
I don't know who you are.	Nusabe yo quien ustedes.
I don't want to die here.	No quiere yo murí aquí.
I don't want to eat here.	No quiere yo comé aquí.
I don't want to eat this.	No quiere yo comé cunesté.
I don't want to get sick.	No quiere yo enfermá.
I don't want to go there.	No quiere yo andá allí.
I don't want to hurt her.	No quiere yo cunele hacé sentí duele.
I don't want to kill you.	No quiere yo matá cuntigo.
I don't want to lie down.	No quiere yo acustá.
I don't want to remember.	No quiere yo acordá.
I don't want to tell you.	No quiere yo hablá cuntigo.
I have a rash on my neck.	Tiene yo rasquina na pescuezo.
I have many things to do.	Manada yo cosa necesita hacé.
I just want to say hello.	Quiere lang yo hablá hello.
I know this is difficult.	Sabe yo dificil esté.
I left my key in my room.	Ya dejá yo de mío llave na de mío cuarto.
I made a lot of mistakes.	Manada yo malí ya hacé.
I need to call Tom again.	Necesita yo llamá cun Tom olet.
I need to call Tom again.	Necesita yo llamá cun Tom otra vez.
I sat waiting on a bench.	Ya sinta yo na un banco esperando.
I saw him cross the road.	Ya mirá yo cunele ta travesá na camino.
I taught him how to swim.	Ya enseñá yo cunele pakimodo nadá.
I want to be your friend.	Quiere yo quedá tuyo amigo.
I would never lie to you.	Nunca gayot yo man imbustero cuntigo.
I'm proud to be your son.	Orgulloso yo quedá de tuyu anak.
Is it OK if I open a can?	Okey lang si abrí yo un lata?
Is the rat alive or dead?	Muerto o vivo el ratón?
May I ask some questions?	Puede yo preguntá?
May I use your car today?	Puede ba yo usá de tuyo coche este dia?
My sister is so annoying.	Bien makaimpestiá gayót de mío hermana.
Please come back at once.	Favor virá aquí ahora mismo.
She and I are classmates.	Ele patí yo, classmate kamé dos.
Someone broke the window.	Tiene quien ya hacé quebrá cunel ventana.
Someone is looking at me.	Tiene quien ta mirá cumigo.
Tell her to come at noon.	Hablá cunele vené le mediodía.
The book is on the table.	Tallá encima del mesa el libro.
The car is in the garage.	Na garaje el coche.
The flower pot is broken.	Quebrao el pasó.
The train is due at noon.	Mediodia ay llega el tren.
The women have umbrellas.	Tiene páyung el maga mujer.
The world is a big place.	Un grande lugar el mundo.
There is a spoon missing.	Tiene un cuchara perdido.
There's another solution.	Tiene otro solución.
There's sand in my shoes.	Tiene yo arena na mi zapatos.
They want to be with you.	Quiere sila man junto contigo.
This knife is very sharp.	Bien agudo esté cuchillo.
